"","ContractRef","InterestType","MortgageType","NewLoan","ProbationaryLoans","DefaultedLoans","LTVCategory","CreditRating","MortgageYears","CreditRatingMovement","LTV","LoanBalance","InterestIncome","PropertyValue","AnnualPYMT","AddressLatitude","AddressLongitude","InArrears","County","ArrearsCategory","prediction"
"7","00000CONTR00194993","Tracker","Owner Occupied","No","No","Yes","70 to 80%","3",28,0,0.71,1.27935743313997,-0.901400070624449,1.54456307990013,1.97958842736415,53.7619694,-8.764167,"No","Mayo","0",0.641486675502769
"12","00000CONTR00151547","Tracker","Owner Occupied","No","No","Yes","70 to 80%","2",28,0,0.78,0.819081663904279,-0.0183068692941681,0.664539100117015,1.00481487712844,53.5325373,-7.3490045,"No","Westmeath","0",0.97392991714647
"15","00000CONTR00080131","Fixed","Owner Occupied","No","No","Yes","90 to 100%","2",34,0,0.943346788,-0.68909138494721,0.179808636978486,-1.30009066213625,-1.36168324460039,53.460322,-6.2546686,"Yes","Dublin","< 90 days",NA
"22","00000CONTR00112160","Fixed","Owner Occupied","No","No","Yes","90 to 100%","3",34,-1,0.92964578,0.0824739651406569,0.870060520621328,-0.529977154335909,-0.659188491555814,53.3356132,-6.4578121,"No","Dublin","0",NA
"24","00000CONTR00099487","Tracker","Buy to Let","No","No","Yes","20 to 30%","2",31,0,0.200050358,-1.37825655269949,-0.955293793135801,-0.819017018823181,-0.794420705818224,53.3357306,-6.4574121,"No","Dublin","0",NA
"27","00000CONTR00047138","Variable","Owner Occupied","No","No","Yes","0 to 10%","3",33,0,0.035303004,-1.6558369675189,-1.09069495089257,-1.1896725591048,-1.23099091642397,53.3353517,-6.4576984,"No","Dublin","0",NA
"28","00000CONTR00178941","Tracker","Owner Occupied","No","No","Yes","20 to 30%","2",33,0,0.294191703,-1.1501994803988,-1.09165481284399,-0.578665528429675,-0.656742867616533,53.3940739,-6.2076617,"Yes","Dublin","< 90 days",NA
"32","00000CONTR00051725","Tracker","Owner Occupied","No","No","Yes","60 to 70%","3",30,0,0.64,0.749166355636919,0.604653639611857,1.20783607242194,1.3495033360555,54.4653057,-8.3293841,"Yes","Leitrim","< 90 days",0.479053831508675
"34","00000CONTR00143646","Variable","Owner Occupied","Yes","No","Yes","70 to 80%","2",32,1,0.79,0.539420435792668,1.21742950832081,0.304988668137242,0.249490094773122,53.3129298,-6.2760535,"No","Dublin","0",0.964790566597736
"36","00000CONTR00146460","Variable","Owner Occupied","No","No","Yes","60 to 70%","3",30,0,0.62,0.740010779987115,1.42684107430101,1.30670175807763,1.45171291203334,52.6992466,-8.7658766,"No","Clare","0",0.552960700702307
"39","00000CONTR00058064","Tracker","Owner Occupied","No","No","Yes","20 to 30%","2",28,0,0.200050358,-1.49394973905061,-0.925164231758355,-1.34563834851502,-1.22179240814,53.3915293,-6.4285869,"No","Dublin","0",NA
"42","00000CONTR00057396","Variable","Owner Occupied","No","No","Yes","90 to 100%","2",30,1,0.917878112,0.00506773299424839,0.576888369620461,-0.584412607947091,-0.503363787313685,53.2718777,-6.3519891,"No","Dublin","0",NA
"43","00000CONTR00124763","Fixed","Owner Occupied","No","No","Yes","70 to 80%","3",31,0,0.79,0.782043196296612,1.47072192093515,0.584651303290196,0.60991217905621,52.276059,-8.0010517,"No","Tipperary","0",0.526958736284807
"44","00000CONTR00046436","Tracker","Buy to Let","No","No","Yes","90 to 100%","4",35,3,0.973400556,-0.669947908092745,-0.693989059121136,-1.31224718623241,-1.39783455019483,53.2923755,-6.1529619,"No","Dublin","0",NA
"47","00000CONTR00167139","Tracker","Owner Occupied","No","No","Yes","10 to 20%","4",32,0,0.117676681,-1.50227298997186,-1.0897552965654,-0.760293057061019,-0.782990171085393,51.8466575,-8.3347385,"No","Cork","0",NA
"48","00000CONTR00144902","Tracker","Buy to Let","No","Yes","Yes","60 to 70%","4",30,1,0.64,-0.419418058536041,0.0301914186425018,-0.454849433755691,-0.369418454466673,53.5359433,-6.9645207,"Yes","Meath","< 6 months",NA
"63","00000CONTR00198038","Tracker","Buy to Let","No","No","Yes","10 to 20%","3",35,0,0.141212017,-1.53806296843747,-1.02513132784164,-1.24334499670979,-1.33677800311522,53.2982875,-6.2462333,"No","Dublin","0",NA
"74","00000CONTR00185161","Variable","Owner Occupied","No","No","Yes","90 to 100%","4",28,0,0.941413448,1.39837991989265,0.911405311196473,0.721066221859889,1.06742810742812,53.8308786,-7.0617015,"No","Cavan","0",0.52917583113719
"77","00000CONTR00137450","Tracker","Owner Occupied","No","No","Yes","90 to 100%","2",33,0,0.962999846,-0.614182127647499,-0.82883450723822,-1.24912982749849,-1.2868711582236,51.8942825,-9.5795679,"No","Kerry","0",NA
"78","00000CONTR00132001","Tracker","Owner Occupied","No","No","Yes","90 to 100%","3",32,0,0.92964578,0.0812254783783518,-1.11824804075066,-0.531200070697488,-0.560951266021253,51.8939831,-9.5813012,"No","Kerry","0",NA
"79","00000CONTR00187365","Tracker","Owner Occupied","No","No","Yes","90 to 100%","4",31,0,0.917878112,0.0379445736539408,0.146041703813199,-0.551796280048821,-0.527073452732048,54.0886329,-6.2610685,"No","Louth","0",NA
"83","00000CONTR00175505","Variable","Owner Occupied","Yes","No","Yes","70 to 80%","2",30,0,0.71,1.47079220168462,0.112638508199037,1.79008624088897,1.95144669558089,53.2688172,-7.4753885,"No","Offaly","0",0.972447450746
"84","00000CONTR00175809","Fixed","Buy to Let","No","No","Yes","70 to 80%","2",35,0,0.77,1.36092529223436,2.07506110822755,1.34348640510079,0.955500283663832,53.2686427,-7.4755919,"No","Offaly","0",0.974342726735901
"87","00000CONTR00221230","Tracker","Owner Occupied","No","No","Yes","70 to 80%","3",33,0,0.78,0.866108030568214,1.24723574759465,0.719439665161559,0.563266620991591,51.707682,-8.5368084,"No","Cork","0",0.6054516561272
"90","00000CONTR00029936","Tracker","Owner Occupied","No","No","Yes","70 to 80%","2",28,0,0.7,1.63933803193105,0.0970887444190983,2.06739778718139,2.55871519370059,54.0014012,-6.4235721,"No","Louth","0",0.957986766381709
