County;Branch;Town;Latitude;Longitude
Carlow;Branch 108;Bagenalstown;52.7031;-6.9559
Carlow;Branch 143;Borris;52.5998;-6.9231
Carlow;Branch 219;Shamrock Plaza, Green Lane;52.8365;-6.9244
Carlow;Branch 67;Tullow;52.8025;-6.7372
Cavan;Branch 128;Arva;53.9214;-7.5799
Cavan;Branch 130;Bailieborough;53.9156;-6.9693
Cavan;Branch 153;Cavan;53.9897;-7.3633
Cavan;Branch 194;Cootehill;54.0725;-7.0824
Cavan;Branch 171;Kingscourt;53.9069;-6.8052
Clare;Branch 59;Ennis;52.8474;-8.9887
Clare;Branch 205;Ennistymon;52.9404;-9.2935
Clare;Branch 199;Kilkee;52.6828;-9.6444
Clare;Branch 97;Kilrush;52.6407;-9.4859
Clare;Branch 246;Miltown Malbay;52.8562;-9.4008
Clare;Branch 218;Scariff;52.9088;-8.5331
Clare;Branch 220;Shannon;52.6997;-8.9147
Clare;Branch 188;Tulla;52.8692;-8.7608
Cork;Branch 43;Cork City;51.8969;-8.4863
Cork;Branch 29;South Mall;51.8969;-8.4862
Cork;Branch 132;Ballincollig,;51.888;-8.5949
Cork;Branch 46;Main Street South. Bandon;51.7472;-8.7253
Cork;Branch 260;Bantry;51.6801;-9.4526
Cork;Branch 81;Bishopstown;51.878;-8.5326
Cork;Branch 63;Blackpool;51.9142;-8.474
Cork;Branch 150;Carrigaline;51.8179;-8.3915
Cork;Branch 155;Charleville;52.3549;-8.6832
Cork;Branch 209;Clonakilty;51.6203;-8.9055
Cork;Branch 12;Cobh;51.8503;-8.2943
Cork;Branch 112;Cork airport;51.8449;-8.4928
Cork;Branch 84;Douglas;51.875;-8.4336
Cork;Branch 158;Dunmanway;51.7223;-9.1118
Cork;Branch 208;Fermoy;52.1373;-8.2812
Cork;Branch 103;Glanmire;51.9177;-8.3982
Cork;Branch 257;Kanturk;52.1773;-8.9052
Cork;Branch 95;Kinsale;51.7059;-8.5222
Cork;Branch 90;Little Island;51.9022;-8.3513
Cork;Branch 198;Macroom;51.9048;-8.9588
Cork;Branch 9;Mallow;52.139;-8.6539
Cork;Branch 52;Midleton;51.9143;-8.1726
Cork;Branch 245;Millstreet;52.0601;-9.0647
Cork;Branch 254;Mitchelstown;52.2662;-8.2699
Cork;Branch 16;Skibbereen;51.5559;-9.2621
Cork;Branch 250;Western road;51.8921;-8.4933
Cork;Branch 259;Wilton;51.874;-8.5064
Cork;Branch 122;Youghal;51.9543;-7.8472
Donegal;Branch 135;Ballybofey;54.7968;-7.7875
Donegal;Branch 139;Ballyshannon;54.503;-8.192
Donegal;Branch 118;Buncrana;55.1366;-7.456
Donegal;Branch 146;Bundoran;54.4791;-8.2779
Donegal;Branch 58;Carndonagh;55.2506;-7.2669
Donegal;Branch 233;Donegal;54.6538;-8.1096
Donegal;Branch 168;Killybegs;54.6348;-8.4547
Donegal;Branch 120;Letterkenny;54.9558;-7.7343
Donegal;Branch 179;Moville;55.189;-7.0401
Donegal;Branch 211;Bun beg /An Bun Beag,;55.0609;-8.3003
Donegal;Branch 163;Glenties / Na Gleannta,;54.7972;-8.283
Donegal;Branch 162;Falcarragh I An Fal Carrach,;55.1364;-8.1045
Donegal;Branch 119;Dungloe / An Cloch an Liath,;54.9503;-8.3574
Dublin;Branch 36;Baggot Street Lower,;53.1958;-6.1432
Dublin;Branch 249;College,;53.3438;-6.2546
Dublin;Branch 60;Balbriggan;53.6083;-6.1821
Dublin;Branch 23;Ballsbridge;53.3289;-6.2305
Dublin;Branch 49;Ballsbridge;53.3289;-6.2305
Dublin;Branch 27;Ballyfermot Road. Ballyfermot;53.3423;-6.3536
Dublin;Branch 62;Beaumont;53.3904;-6.2234
Dublin;Branch 25;Blackrock;53.3008;-6.1771
Dublin;Branch 142;Blanchardstown;53.3842;-6.376
Dublin;Branch 202;Cloghran;53.4119;-6.3572
Dublin;Branch 197;Clondalkin;53.324;-6.4055
Dublin;Branch 39;Malahide Road. Coolock;53.3882;-6.1992
Dublin;Branch 32;Drumcondra;53.3634;-6.2579
Dublin;Branch 31;Dublin;53.3382;-6.2591
Dublin;Branch 48;Dublin;53.34;-6.2942
Dublin;Branch 223;Dublin;53.34;-6.2942
Dublin;Branch 50;Dublin;53.3382;-6.2591
Dublin;Branch 17;Dublin;53.204;-6.1536
Dublin;Branch 30;Dublin;53.3484;-6.2782
Dublin;Branch 111;Dublin;53.3484;-6.2782
Dublin;Branch 207;Dublin airport;53.4264;-6.2499
Dublin;Branch 101;Dun laoghaire;53.2944;-6.1339
Dublin;Branch 77;Dundrum;53.2932;-6.2462
Dublin;Branch 24;Fairview;53.365;-6.23
Dublin;Branch 56;Finglas;53.3903;-6.2984
Dublin;Branch 5;Glasnevin;53.3828;-6.2763
Dublin;Branch 110;IFSC;53.348899;-6.246032
Dublin;Branch 83;Kill of the Grange;53.2797;-6.1615
Dublin;Branch 13;Killester;53.3716;-6.2026
Dublin;Branch 175;Lucan;53.3572;-6.4498
Dublin;Branch 234;Malahide;53.4509;-6.1501
Dublin;Branch 92;Mater hospital;53.3594;-6.2673
Dublin;Branch 252;Montrose;53.3086;-6.2148
Dublin;Branch 21;Northern cross;53.4042;-6.1807
Dublin;Branch 38;O’connell street lower;53.2058;-6.1537
Dublin;Branch 44;Phibsborough;53.3599;-6.2724
Dublin;Branch 37;Raheny;53.3804;-6.1751
Dublin;Branch 4;Ranelagh;53.3268;-6.2571
Dublin;Branch 191;Rathcoole;53.2817;-6.4662
Dublin;Branch 212;Rathfarnham;53.3005;-6.2839
Dublin;Branch 10;Rathmines;53.3219;-6.2655
Dublin;Branch 55;Sandyford;53.272;-6.2207
