"","ContractRef","InterestType","MortgageType","NewLoan","ProbationaryLoans","DefaultedLoans","LTVCategory","CreditRating","MortgageYears","CreditRatingMovement","LTV","LoanBalance","InterestIncome","PropertyValue","AnnualPYMT","AddressLatitude","AddressLongitude","InArrears","County","ArrearsCategory","Town","Branch","MaturityDate","BookingDate","LastValuationDate","ValuationAgeYears","DT_score.No","DT_score.Yes","lr_score","PredictionDT"
"1","00000CONTR00194993","Tracker","Owner Occupied","No","No","Yes","70 to 80%",3,28, 0,0.71000000,180153.106,  675.574148,253736.77, 9062.027,53.76197, -8.764167,"No","Mayo","0","Friarsground","Branch 170","25/10/2043","01/11/2015","01/11/2015",1.61,0.42792589,0.57207411,0.7851944,"No"
"2","00000CONTR00151547","Tracker","Owner Occupied","No","No","Yes","70 to 80%",2,28, 0,0.78000000,152301.647, 3426.787066,195258.52, 6973.519,53.53254, -7.349005,"No","Westmeath","0","Mullingar","Branch 177","09/10/2034","16/10/2006","15/04/2014",3.74,0.04722274,0.95277726,0.8391158,"Yes"
"3","00000CONTR00080131","Fixed","Owner Occupied","No","No","Yes","90 to 100%",2,34, 0,0.94334679, 61041.533, 4044.001579, 64707.42, 1903.159,53.46032, -6.254669,"Yes","Dublin","< 90 days","Swords","Branch 227","11/01/2041","20/01/2007","28/04/2014",3.69,0.04722274,0.95277726,0.8816832,"Yes"
"4","00000CONTR00112160","Fixed","Owner Occupied","No","No","Yes","90 to 100%",3,34,-1,0.92964578,107729.241, 6194.431337,115882.03, 3408.295,53.33561, -6.457812,"No","Dublin","0","Lucan","Branch 56","10/01/2040","18/01/2006","25/09/2016",0.37,0.42792589,0.57207411,0.8102725,"Yes"
"5","00000CONTR00099487","Tracker","Buy to Let","No","No","Yes","20 to 30%",2,31, 0,0.20005036, 19339.892,  507.672158, 96675.12, 3118.552,53.33573, -6.457412,"No","Dublin","0","Lucan","Branch 23","23/11/2030","01/12/1999","20/06/2015",2.11,0.04722274,0.95277726,0.8924749,"Yes"
"6","00000CONTR00047138","Variable","Owner Occupied","No","No","Yes","0 to 10%",3,33, 0,0.03530300,  2543.397,   85.839656, 72044.78, 2183.175,53.33535, -6.457698,"No","Dublin","0","Lucan","Branch 39","16/04/2016","25/04/1983","23/08/2015",1.87,0.42792589,0.57207411,0.6878182,"Yes"
"7","00000CONTR00178941","Tracker","Owner Occupied","No","No","Yes","20 to 30%",2,33, 0,0.29419170, 33139.710,   82.849276,112646.65, 3413.535,53.39407, -6.207662,"Yes","Dublin","< 90 days","Kilmore","Branch 21","16/07/2037","24/07/2004","20/09/2016",0.38,0.04722274,0.95277726,0.8112551,"Yes"
"8","00000CONTR00051725","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,30, 0,0.64000000,148071.046, 5367.575419,231361.01, 7712.034,54.46531, -8.329384,"Yes","Leitrim","< 90 days","Tullaghan","Branch 121","20/10/2038","27/10/2008","24/11/2013",4.28,0.42792589,0.57207411,0.7178056,"Yes"
"9","00000CONTR00143646","Variable","Owner Occupied","Yes","No","Yes","70 to 80%",2,32, 1,0.79000000,135379.242, 7276.634263,171366.13, 5355.192,53.31293, -6.276053,"No","Dublin","0","Dublin 6","Branch 111","04/11/2048","12/11/2016","12/11/2016",0.18,0.04722274,0.95277726,0.7657647,"Yes"
"10","00000CONTR00146460","Variable","Owner Occupied","No","No","Yes","60 to 70%",3,30, 0,0.62000000,147517.039, 7929.040832,237930.71, 7931.024,52.69925, -8.765877,"No","Clare","0","Cratloe","Branch 188","01/07/2037","09/07/2007","04/06/2014",3.55,0.42792589,0.57207411,0.8054866,"Yes"
