"","ContractRef","InterestType","MortgageType","NewLoan","ProbationaryLoans","DefaultedLoans","LTVCategory","CreditRating","MortgageYears","CreditRatingMovement","LTV","LoanBalance","InterestIncome","PropertyValue","AnnualPYMT","AddressLatitude","AddressLongitude","InArrears","County","ArrearsCategory","Town","Branch","MaturityDate","BookingDate","LastValuationDate","ValuationAgeYears","prediction","lr_score","DT_score.No","DT_score.Yes"
"1","00000CONTR00194993","Tracker","Owner Occupied","No","No","Yes","70 to 80%",3,28, 0,0.71000000, 1.279357e+00,  675.574148, 1.544563e+00, 1.9795884274,53.76197, -8.764167,"No","Mayo","0","Friarsground","Branch 170","25/10/2043","01/11/2015","01/11/2015",1.61,0.7851944,0.7851944,0.70833333,0.29166667
"2","00000CONTR00151547","Tracker","Owner Occupied","No","No","Yes","70 to 80%",2,28, 0,0.78000000, 8.190817e-01, 3426.787066, 6.645391e-01, 1.0048148771,53.53254, -7.349005,"No","Westmeath","0","Mullingar","Branch 177","09/10/2034","16/10/2006","15/04/2014",3.74,0.8391158,0.8391158,0.04722274,0.95277726
"3","00000CONTR00080131","Fixed","Owner Occupied","No","No","Yes","90 to 100%",2,34, 0,0.94334679,-6.890914e-01, 4044.001579,-1.300091e+00,-1.3616832446,53.46032, -6.254669,"Yes","Dublin","< 90 days","Swords","Branch 227","11/01/2041","20/01/2007","28/04/2014",3.69,0.8816832,0.8816832,0.04722274,0.95277726
"4","00000CONTR00112160","Fixed","Owner Occupied","No","No","Yes","90 to 100%",3,34,-1,0.92964578, 8.247397e-02, 6194.431337,-5.299772e-01,-0.6591884916,53.33561, -6.457812,"No","Dublin","0","Lucan","Branch 56","10/01/2040","18/01/2006","25/09/2016",0.37,0.8102725,0.8102725,0.42574257,0.57425743
"5","00000CONTR00099487","Tracker","Buy to Let","No","No","Yes","20 to 30%",2,31, 0,0.20005036,-1.378257e+00,  507.672158,-8.190170e-01,-0.7944207058,53.33573, -6.457412,"No","Dublin","0","Lucan","Branch 23","23/11/2030","01/12/1999","20/06/2015",2.11,0.8924749,0.8924749,0.04722274,0.95277726
"6","00000CONTR00047138","Variable","Owner Occupied","No","No","Yes","0 to 10%",3,33, 0,0.03530300,-1.655837e+00,   85.839656,-1.189673e+00,-1.2309909164,53.33535, -6.457698,"No","Dublin","0","Lucan","Branch 39","16/04/2016","25/04/1983","23/08/2015",1.87,0.6878182,0.6878182,0.38771930,0.61228070
"7","00000CONTR00178941","Tracker","Owner Occupied","No","No","Yes","20 to 30%",2,33, 0,0.29419170,-1.150199e+00,   82.849276,-5.786655e-01,-0.6567428676,53.39407, -6.207662,"Yes","Dublin","< 90 days","Kilmore","Branch 21","16/07/2037","24/07/2004","20/09/2016",0.38,0.8112551,0.8112551,0.04722274,0.95277726
"8","00000CONTR00051725","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,30, 0,0.64000000, 7.491664e-01, 5367.575419, 1.207836e+00, 1.3495033361,54.46531, -8.329384,"Yes","Leitrim","< 90 days","Tullaghan","Branch 121","20/10/2038","27/10/2008","24/11/2013",4.28,0.7178056,0.7178056,0.35536398,0.64463602
"9","00000CONTR00143646","Variable","Owner Occupied","Yes","No","Yes","70 to 80%",2,32, 1,0.79000000, 5.394204e-01, 7276.634263, 3.049887e-01, 0.2494900948,53.31293, -6.276053,"No","Dublin","0","Dublin 6","Branch 111","04/11/2048","12/11/2016","12/11/2016",0.18,0.7657647,0.7657647,0.04722274,0.95277726
"10","00000CONTR00146460","Variable","Owner Occupied","No","No","Yes","60 to 70%",3,30, 0,0.62000000, 7.400108e-01, 7929.040832, 1.306702e+00, 1.4517129120,52.69925, -8.765877,"No","Clare","0","Cratloe","Branch 188","01/07/2037","09/07/2007","04/06/2014",3.55,0.8054866,0.8054866,0.35536398,0.64463602
"11","00000CONTR00058064","Tracker","Owner Occupied","No","No","Yes","20 to 30%",2,28, 0,0.20005036,-1.493950e+00,  601.538624,-1.345638e+00,-1.2217924081,53.39153, -6.428587,"No","Dublin","0","Hartstown","Branch 37","26/01/2030","02/02/2002","11/11/2014",2.95,0.7855289,0.7855289,0.04722274,0.95277726
"12","00000CONTR00057396","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,30, 1,0.91787811, 5.067733e-03, 5281.074731,-5.844126e-01,-0.5033637873,53.27188, -6.351989,"No","Dublin","0","Ballycragh","Branch 24","31/10/2045","08/11/2015","07/05/2016",0.90,0.8752005,0.8752005,0.04722274,0.95277726
